N,P,K,temperature,humidity,ph,rainfall,label
97.7,41.6,49.2,30.86,78.92,5.64,165.12,rice
27.7,80.8,28.0,18.14,57.23,5.88,198.77,pigeonpeas
21.6,71.7,21.2,24.48,63.79,7.45,45.38,lentil
87.7,20.9,59.8,29.24,88.92,6.12,27.81,muskmelon
80.3,36.2,18.0,26.88,74.13,5.51,117.11,maize
22.3,18.9,10.9,24.33,91.34,7.18,127.46,orange
102.7,12.1,49.6,27.15,58.4,6.49,54.14,watermelon
24.0,11.6,38.4,21.92,86.87,6.67,112.02,pomegranate
22.2,34.0,45.0,28.09,50.98,7.22,119.94,mango
39.9,79.8,27.7,17.49,26.53,5.57,65.7,kidneybeans
116.1,73.8,61.5,26.1,89.86,5.97,144.31,banana
27.2,77.2,22.4,19.83,31.76,5.86,111.59,kidneybeans
14.6,17.0,44.6,27.26,62.42,5.51,80.84,mango
32.1,83.0,23.6,19.77,50.36,6.8,134.71,pigeonpeas
78.2,48.6,35.5,22.26,84.27,6.21,237.55,rice
20.4,147.6,202.8,18.46,81.83,5.93,77.75,grapes
85.7,21.1,53.1,27.73,93.1,6.41,20.26,muskmelon
16.7,24.3,39.3,28.89,98.53,6.06,208.51,coconut
95.2,56.9,18.7,25.47,78.27,6.71,96.93,cotton
20.5,56.0,21.1,17.89,84.27,7.1,55.57,lentil
93.4,56.3,34.9,29.37,65.33,6.74,90.73,cotton
17.4,24.4,41.1,20.96,90.66,6.55,118.72,pomegranate
81.9,12.0,53.4,30.52,72.76,6.24,57.23,watermelon
20.4,72.7,28.7,32.98,87.64,7.47,60.32,blackgram
110.9,96.3,57.3,23.88,79.28,5.98,176.35,banana
111.0,78.6,51.5,28.79,83.45,5.66,124.79,banana
93.1,21.1,27.2,23.47,65.27,6.86,207.84,coffee
35.4,63.1,22.7,31.6,48.75,6.06,63.93,mothbeans
88.2,36.4,32.7,20.17,82.01,6.68,208.84,rice
117.3,44.8,18.1,29.09,75.79,7.64,64.06,cotton
98.5,14.7,46.6,25.0,91.08,6.36,27.52,muskmelon
23.9,58.2,18.3,20.19,27.16,5.75,63.46,kidneybeans
89.7,47.8,21.9,21.34,74.69,5.58,112.02,maize
38.0,77.3,85.2,21.34,16.42,6.51,74.47,chickpea
29.8,130.5,194.3,16.16,93.8,5.94,118.76,apple
39.5,75.2,27.7,18.24,28.53,6.09,96.19,kidneybeans
15.6,65.1,17.7,19.38,63.49,6.3,170.15,pigeonpeas
110.2,32.6,28.4,21.47,69.4,7.17,169.78,coffee
16.6,33.5,30.4,34.88,58.41,6.43,104.54,mango
106.8,35.1,22.3,23.39,78.79,6.7,75.09,cotton
36.4,66.4,99.3,16.11,23.45,6.08,89.6,chickpea
18.4,125.4,202.6,21.16,90.51,5.75,111.13,apple
68.6,30.9,35.2,27.14,76.03,6.49,239.53,rice
24.7,132.6,206.7,19.76,94.88,5.94,119.49,apple
18.6,27.8,41.4,24.06,64.84,5.87,98.81,mango
28.6,134.7,204.4,18.17,92.82,5.68,123.48,apple
42.5,67.4,49.1,32.13,93.05,6.82,77.83,papaya
65.9,58.0,48.3,26.15,89.32,6.71,41.05,papaya
56.2,60.1,59.5,28.23,87.87,6.36,108.73,papaya
81.9,50.8,43.0,22.69,89.24,5.97,198.81,rice
78.4,43.3,43.2,25.07,72.1,6.04,164.62,jute
14.2,30.3,44.0,31.89,62.63,6.78,95.51,mango
27.5,18.8,36.0,24.26,60.28,6.66,105.02,mango
27.1,127.4,190.4,27.38,79.58,6.07,86.98,grapes
116.1,19.5,25.6,22.33,64.09,6.68,182.2,coffee
27.1,19.4,26.3,32.13,49.23,6.29,82.57,mango
32.5,145.7,199.3,23.35,86.78,5.66,119.72,apple
27.6,132.1,195.8,19.69,80.33,5.61,76.48,grapes
92.0,16.4,62.7,25.34,86.36,6.08,28.43,muskmelon
29.7,15.4,29.2,28.17,96.49,6.13,191.48,coconut
89.5,35.5,37.2,23.17,89.94,6.18,177.14,jute
29.3,62.2,16.8,30.34,86.38,6.62,64.1,mungbean
113.5,77.5,53.6,28.68,81.44,5.94,105.25,banana
81.6,81.6,53.1,23.67,75.35,5.63,152.37,banana
64.7,47.3,35.5,26.65,88.03,7.16,180.96,rice
105.7,50.3,21.3,30.3,75.91,6.33,107.37,cotton
80.5,55.4,15.8,18.76,67.91,5.64,64.28,maize
89.4,65.0,33.7,23.78,60.53,6.77,107.14,maize
18.6,57.8,22.5,31.29,35.13,7.7,39.32,mothbeans
38.8,56.8,57.0,26.86,88.75,6.13,115.26,papaya
25.4,48.5,24.0,25.72,66.8,7.4,85.42,mungbean
28.9,61.9,22.5,22.31,34.16,5.72,113.17,kidneybeans
26.6,19.9,43.6,27.56,99.83,6.09,144.03,coconut
88.9,22.6,40.3,25.14,63.25,6.01,159.95,coffee
101.4,21.2,34.8,20.25,51.08,7.17,194.88,coffee
101.5,30.0,52.0,30.83,91.98,6.69,23.26,muskmelon
84.4,57.7,41.6,24.54,88.27,7.02,184.96,jute
26.9,74.3,15.6,31.21,83.34,6.75,70.73,blackgram
39.1,50.3,21.8,26.23,63.56,4.43,53.19,mothbeans
26.1,71.0,28.1,24.96,26.65,6.31,79.62,kidneybeans
24.2,29.3,37.7,31.71,91.58,5.6,177.91,coconut
61.3,37.4,22.9,19.19,64.19,6.88,108.04,maize
92.2,58.7,21.1,18.73,60.07,5.85,101.7,maize
36.1,63.1,81.1,23.95,28.33,7.57,78.17,chickpea
21.0,63.5,19.6,25.35,46.12,5.5,31.41,mothbeans
38.3,81.0,18.5,32.78,78.26,7.46,71.21,blackgram
27.2,23.7,19.9,18.93,88.34,6.07,124.94,orange
18.7,65.3,28.0,16.55,16.65,5.98,78.15,kidneybeans
20.2,12.6,44.8,20.78,87.63,6.56,109.96,pomegranate
81.3,19.3,53.4,30.23,62.1,6.98,45.42,watermelon
30.9,51.7,26.1,28.36,82.95,6.65,64.21,mungbean
11.3,20.3,20.5,26.42,87.92,6.98,103.31,orange
93.2,81.4,57.4,29.18,80.88,6.4,144.8,banana
65.1,48.4,35.0,23.83,77.2,6.41,175.56,jute
95.2,23.8,57.6,30.63,89.52,6.52,28.1,muskmelon
82.7,55.0,49.6,29.35,81.47,6.06,168.72,jute
21.6,23.3,26.3,28.75,99.53,6.02,210.88,coconut
33.4,73.3,22.3,19.86,39.15,5.76,155.92,pigeonpeas
81.5,47.6,44.9,25.18,77.55,6.07,204.46,rice
11.1,23.5,47.8,23.63,86.84,6.44,114.34,pomegranate
94.0,24.1,51.2,26.52,56.21,6.69,57.03,watermelon
81.6,54.2,47.9,23.82,77.2,5.96,214.07,rice
16.9,70.0,25.3,22.92,77.49,7.32,77.39,lentil
62.7,52.5,21.9,23.59,51.14,7.24,118.41,maize
16.4,22.6,37.3,30.86,54.63,6.3,119.45,mango
30.8,82.4,18.1,31.65,62.36,6.91,64.92,blackgram
36.5,63.6,79.2,18.53,27.43,6.67,89.31,chickpea
26.1,42.7,17.9,31.7,60.01,7.21,43.96,mungbean
64.2,54.7,31.4,21.42,69.39,7.43,72.23,maize
14.2,31.2,40.5,25.6,54.28,7.05,93.49,mango
45.2,69.1,99.4,21.34,17.53,7.35,73.0,chickpea
46.4,72.2,85.5,19.3,21.34,6.87,90.96,chickpea
35.7,47.5,18.9,30.94,53.42,6.41,49.52,mothbeans
74.2,37.1,25.4,18.61,70.01,5.97,92.4,maize
22.3,17.3,37.9,22.87,94.38,6.81,115.37,pomegranate
12.1,23.3,35.7,19.39,94.36,6.03,108.76,pomegranate
74.0,57.9,46.6,31.58,77.49,6.96,290.75,rice
97.3,42.8,37.2,27.26,81.23,7.21,159.52,jute
24.8,71.6,22.5,16.94,32.18,6.18,110.27,kidneybeans
70.6,37.3,49.5,24.72,92.84,6.76,269.22,rice
19.2,56.4,17.6,25.88,47.3,9.45,38.47,mothbeans
16.7,76.7,27.1,17.89,79.92,6.35,75.01,lentil
97.1,53.8,38.8,24.36,86.13,6.69,153.77,jute
68.3,62.9,17.3,25.36,59.52,7.26,112.08,maize
16.7,136.7,195.0,17.43,94.91,6.26,125.11,apple
96.9,64.2,16.7,22.69,76.91,7.31,108.04,cotton
84.6,25.3,59.5,28.52,64.36,6.89,63.0,watermelon
22.3,132.4,203.1,34.9,84.38,5.5,86.56,grapes
21.7,66.2,98.3,21.42,28.43,7.26,67.96,chickpea
33.3,42.0,27.2,28.71,37.38,5.04,55.12,mothbeans
98.0,89.4,64.1,29.95,75.6,5.83,137.64,banana
18.9,24.8,38.6,25.12,51.57,5.65,82.93,mango
62.9,36.0,32.0,23.79,80.95,6.32,193.01,jute
25.1,128.0,196.2,25.56,77.16,6.38,62.56,grapes
20.8,137.8,200.9,16.98,78.19,5.55,71.87,grapes
99.9,46.7,45.4,31.34,91.99,5.99,217.58,rice
25.1,12.4,19.3,21.28,89.23,7.13,128.52,orange
20.9,69.4,23.3,31.32,67.71,7.42,65.09,blackgram
68.3,73.6,50.6,31.51,90.79,6.24,60.97,papaya
15.0,42.2,18.1,27.5,84.18,6.42,49.58,mungbean
16.3,83.1,22.9,31.15,74.47,6.14,83.04,blackgram
18.9,23.2,38.6,25.08,91.43,7.01,192.13,coconut
20.9,6.9,30.7,24.7,98.6,6.68,210.21,coconut
99.7,59.1,18.5,26.93,78.76,7.13,90.06,cotton
43.2,49.1,59.5,24.08,92.02,6.69,76.74,papaya
16.3,56.6,25.4,19.58,19.53,6.11,75.17,kidneybeans
25.8,31.4,30.8,27.74,63.72,5.83,81.69,mango
14.5,133.7,209.1,32.01,76.45,5.53,88.01,grapes
96.0,92.8,54.7,31.4,79.41,5.92,162.96,banana
21.6,65.5,25.6,18.68,76.66,5.7,71.23,lentil
14.3,130.0,209.2,25.4,79.01,6.02,83.37,grapes
25.5,22.4,25.8,28.0,57.21,5.74,116.96,mango
32.2,122.2,194.1,15.93,85.63,5.77,117.16,apple
62.6,42.2,36.1,24.45,80.16,6.02,165.05,jute
25.9,9.6,8.2,28.3,92.08,6.37,103.49,orange
32.6,77.5,73.0,17.78,20.53,6.86,99.21,chickpea
23.8,20.7,37.6,20.38,91.21,7.34,109.92,pomegranate
18.3,25.1,34.5,19.55,86.61,6.56,116.94,pomegranate
21.1,139.3,202.3,29.38,81.43,6.02,80.45,grapes
96.9,24.7,50.4,27.47,93.72,6.31,25.46,muskmelon
15.5,79.8,22.9,22.75,19.69,5.85,61.81,kidneybeans
102.1,49.1,32.9,27.6,70.84,7.36,85.29,cotton
18.4,69.1,29.1,16.86,89.34,7.49,60.0,lentil
35.2,137.5,197.8,16.1,93.95,5.54,125.9,apple
26.6,80.4,15.9,18.35,16.34,6.48,109.02,kidneybeans
100.1,20.8,31.1,25.97,58.98,6.25,156.62,coffee
81.6,25.5,57.3,25.49,90.09,6.08,27.36,muskmelon
